id, version, round, trial, timestamp, game_timestamp, mouse_x, mouse_y, color, position, animation_duration, rt_start_timestamp, rt_end_timestamp, rt, hit
9437, RL, 0, 1, 22:22:11.279, 8.35349, -0.034, -2.483, Red, Bottom, 2, 7.299366, 8.35349, 1.054124, 1
9437, RL, 0, 2, 22:22:16.471, 13.54803, -0.051, 2.573, Blue, Top, 0.4, 12.02978, 13.54803, 1.518251, 1
9437, RL, 0, 3, 22:22:19.818, 16.89442, 2.530, 0.096, Red, Right, 2, 15.82969, 16.89442, 1.064731, 1
9437, RL, 0, 4, 22:22:24.183, 21.25987, -2.483, -0.122, Red, Left, 2, 20.39531, 21.25987, 0.8645649, 1
9437, RL, 0, 5, 22:22:28.603, 25.6799, 2.817, 0.062, Blue, Right, 0.4, 24.66035, 25.6799, 1.019547, 1
9437, RL, 0, 6, 22:22:31.270, 28.34741, -0.008, 2.736, Blue, Top, 0.4, 27.5631, 28.34741, 0.7843056, 1
9437, RL, 0, 7, 22:22:34.682, 31.75926, 2.700, 0.070, Blue, Right, 0.4, 30.46086, 31.75926, 1.298409, 1
9437, RL, 0, 8, 22:22:37.677, 34.7533, 2.555, -0.061, Red, Right, 2, 33.72028, 34.7533, 1.033016, 1
9437, RL, 0, 9, 22:22:42.594, 39.67042, -0.008, -2.483, Blue, Bottom, 0.4, 38.48812, 39.67042, 1.182301, 1
9437, RL, 0, 10, 22:22:45.275, 42.35143, -2.627, 0.070, Blue, Left, 0.4, 41.53725, 42.35143, 0.8141785, 1
